ZONE T="boundary0"
-0.212185 -0.247123 
-0.204441 -0.245814 
-0.207018 -0.246277 
-0.213479 -0.247318 
-0.200586 -0.245068 
-0.199303 -0.244806 
-0.196742 -0.244261 
-0.205729 -0.246049 
-0.195464 -0.243979 
-0.203155 -0.245572 
-0.190367 -0.242784 
-0.191639 -0.243092 
-0.189096 -0.242468 
-0.198022 -0.244537 
-0.192912 -0.243395 
-0.20187 -0.245323 
-0.184032 -0.241139 
-0.18277 -0.240791 
-1.86719 -0.25 
-0.18151 -0.240435 
-0.177742 -0.23933 
-0.17649 -0.238948 
-0.185295 -0.241481 
-0.186561 -0.241817 
-0.187828 -0.242146 
-0.178996 -0.239705 
-0.180252 -0.240073 
-0.17524 -0.23856 
-0.194187 -0.24369 
-0.173992 -0.238165 
-0.172746 -0.237764 
-0.169021 -0.236521 
-0.167783 -0.236094 
-0.166548 -0.23566 
-0.165316 -0.23522 
-0.171502 -0.237356 
-0.00418627 -0.0455589 
-0.00442819 -0.0468453 
-0.162857 -0.23432 
-0.161631 -0.233861 
-0.160408 -0.233395 
-0.17026 -0.236942 
-0.159187 -0.232923 
-0.157969 -0.232444 
-0.156753 -0.231959 
-0.15554 -0.231468 
-0.154329 -0.23097 
-0.153121 -0.230466 
-0.164085 -0.234774 
-0.151916 -0.229955 
-0.149513 -0.228916 
-0.148316 -0.228386 
-0.147121 -0.227851 
-0.14593 -0.227309 
-0.144741 -0.226761 
-0.143555 -0.226207 
-0.142372 -0.225646 
-0.140015 -0.224507 
-0.141192 -0.22508 
-0.13767 -0.223343 
-0.138841 -0.223928 
-0.136502 -0.222752 
-0.135338 -0.222154 
-0.134176 -0.221551 
-0.131862 -0.220326 
-0.129562 -0.219077 
-0.128416 -0.218443 
-0.127274 -0.217803 
-0.133018 -0.220941 
-0.121615 -0.214516 
-0.12274 -0.215186 
-0.107322 -0.205287 
-0.126135 -0.217158 
-0.123868 -0.215849 
-0.119375 -0.21316 
-0.118261 -0.212473 
-0.11715 -0.21178 
-0.11384 -0.209668 
-0.11494 -0.210378 
-0.120493 -0.213841 
-0.116043 -0.211082 
-0.112744 -0.208952 
-0.111652 -0.20823 
-0.110564 -0.207503 
-0.125 -0.216506 
-0.13071 -0.219704 
-0.108398 -0.206032 
-0.10518 -0.203782 
-0.106249 -0.204537 
-0.104115 -0.203021 
-0.103054 -0.202254 
-0.0998949 -0.199921 
-0.087638 -0.190101 
-0.101997 -0.201482 
-0.100944 -0.200704 
-0.0988502 -0.199132 
-0.0978096 -0.198338 
-0.0967732 -0.197539 
-0.095741 -0.196734 
-0.0916548 -0.19346 
-0.090644 -0.192628 
-0.0926699 -0.194286 
-0.0896376 -0.191791 
-0.0936893 -0.195108 
-0.0947131 -0.195923 
-0.0856562 -0.188391 
-0.0866448 -0.189249 
-0.084672 -0.187528 
-0.0827173 -0.185786 
-0.0836924 -0.18666 
-0.0695599 -0.173036 
-0.0817469 -0.184908 
-0.0886356 -0.190949 
-0.080781 -0.184024 
-0.0798198 -0.183136 
-0.0788632 -0.182242 
-0.0760218 -0.179532 
-0.0769642 -0.18044 
-0.0410482 0.137256 
-0.0417697 0.138348 
-0.0750842 -0.178618 
-0.0732233 -0.176777 
-0.0741513 -0.1777 
-0.0779114 -0.181344 
-0.0723001 -0.175849 
-0.191639 0.243092 
-0.165316 0.23522 
-0.186561 0.241817 
-0.185295 0.241481 
-0.192912 0.243395 
-0.184032 0.241139 
-0.194187 0.24369 
-0.178996 0.239705 
-0.177742 0.23933 
-0.189096 0.242468 
-0.190367 0.242784 
-0.180252 0.240073 
-0.20187 0.245323 
-0.203155 0.245572 
-0.204441 0.245814 
-0.196742 0.244261 
-0.198022 0.244537 
-0.199303 0.244806 
-0.195464 0.243979 
-0.200586 0.245068 
-0.187828 0.242146 
-0.205729 0.246049 
-0.159187 0.232923 
-0.160408 0.233395 
-0.164085 0.234774 
-0.161631 0.233861 
-0.162857 0.23432 
